                                             green                eggs                like                   I                  do                  am                   .                 ham                 not                 and                 sam
                       [green]  0.0000000000000000  1.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                        [eggs]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  1.0000000000000000  0.0000000000000000
                        [like]  1.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                           [I]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.3333333333333333  0.6666666666666666  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                          [do]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  1.0000000000000000  0.0000000000000000  0.0000000000000000
                          [am]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000
                           [.]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000
                         [ham]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  1.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                         [not]  0.0000000000000000  0.0000000000000000  1.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                         [and]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  1.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
                         [sam]  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000  0.0000000000000000  0.0000000000000000  0.5000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000  0.0000000000000000
